timestamp,rain_accum,rain_incr,stage,combined_incr,combined_accum,BoulderOEM_incr,NWSBoulder_incr,BoulderOEM_accum,NWSBoulder_accum,,,,,
2013-09-14 18:00,12.37,0,4.31,4784,4784,21,7,3006,1778,,,,,
2013-09-14 19:00,12.37,0,4.31,4825,4825,36,5,3042,1783,,,,,
2013-09-14 20:00,12.37,0,4.22,4832,4832,0,7,3042,1790,,,,,
2013-09-14 21:00,12.53,0.159,4.2,4845,4845,0,13,3042,1803,,,,,
2013-09-14 22:00,12.65,0.119,4.32,4860,4860,7,8,3049,1811,,,,,
2013-09-14 23:00,12.65,0,4.06,4881,4881,9,12,3058,1823,,,,,
2013-09-15 00:00,12.65,0,4.04,4891,4891,10,0,3068,1823,,,,,
2013-09-15 01:00,12.65,0,4,4925,4925,0,34,3068,1857,,,,,
2013-09-15 02:00,12.65,0,4,4932,4932,7,0,3075,1857,,,,,
2013-09-15 03:00,12.65,0,3.95,4932,4932,0,0,3075,1857,,,,,
2013-09-15 04:00,12.65,0,3.91,4932,4932,0,0,3075,1857,,,,,
2013-09-15 05:00,12.65,0,3.92,4978,4978,46,0,3121,1857,,,,,
2013-09-15 06:00,12.65,0,3.87,4978,4978,0,0,3121,1857,,,,,
2013-09-15 07:00,12.65,0,3.8,4978,4978,0,0,3121,1857,,,,,
2013-09-15 08:00,12.65,0,3.8,4978,4978,0,0,3121,1857,,,,,
2013-09-15 09:00,12.65,0,3.72,4978,4978,0,0,3121,1857,,,,,
2013-09-15 10:00,12.69,0.039,3.79,4978,4978,0,0,3121,1857,,,,,
2013-09-15 11:00,13.01,0.319,3.98,4978,4978,0,0,3121,1857,,,,,
2013-09-15 12:00,13.37,0.359,4.3,5016,5016,38,0,3159,1857,,,,,
2013-09-15 13:00,13.57,0.199,4.42,5093,5093,62,15,3221,1872,,,,,
2013-09-15 14:00,13.69,0.119,4.8,5126,5126,20,13,3241,1885,,,,,
2013-09-15 15:00,13.69,0,4.83,5214,5214,65,23,3306,1908,,,,,
2013-09-15 16:00,13.77,0.079,4.87,5256,5256,19,23,3325,1931,,,,,
