"timeslice","mycount"
"2013-09-05 20:00:00",10
"2013-09-05 20:15:00",15
"2013-09-05 20:30:00",10
"2013-09-05 20:45:00",19
"2013-09-05 21:00:00",24
"2013-09-05 21:15:00",27
"2013-09-05 21:30:00",23
"2013-09-05 21:45:00",16
"2013-09-05 22:00:00",13
"2013-09-05 22:15:00",25
"2013-09-05 22:30:00",19
"2013-09-05 22:45:00",18
"2013-09-05 23:00:00",33
"2013-09-05 23:15:00",29
"2013-09-05 23:30:00",17
"2013-09-05 23:45:00",17
"2013-09-06 00:00:00",15
"2013-09-06 00:15:00",12
"2013-09-06 00:30:00",28
"2013-09-06 00:45:00",316
"2013-09-06 01:00:00",445
"2013-09-06 01:15:00",250
"2013-09-06 01:30:00",67
"2013-09-06 01:45:00",38
"2013-09-06 02:00:00",29
"2013-09-06 02:15:00",23
"2013-09-06 02:30:00",19
"2013-09-06 02:45:00",18
"2013-09-06 03:00:00",16
"2013-09-06 03:15:00",13
"2013-09-06 03:30:00",18
"2013-09-06 03:45:00",17
"2013-09-06 04:00:00",17
"2013-09-06 04:15:00",19
"2013-09-06 04:30:00",20
"2013-09-06 04:45:00",8
"2013-09-06 05:00:00",15
"2013-09-06 05:15:00",12
"2013-09-06 05:30:00",15
"2013-09-06 05:45:00",11
"2013-09-06 06:00:00",8
"2013-09-06 06:15:00",11
"2013-09-06 06:30:00",5
"2013-09-06 06:45:00",5
"2013-09-06 07:00:00",5
"2013-09-06 07:15:00",3
"2013-09-06 07:30:00",6
"2013-09-06 07:45:00",3
"2013-09-06 08:00:00",2
"2013-09-06 08:15:00",2
"2013-09-06 08:30:00",2
"2013-09-06 08:45:00",4
"2013-09-06 09:00:00",4
"2013-09-06 09:15:00",1
"2013-09-06 09:30:00",4
"2013-09-06 09:45:00",3
"2013-09-06 10:00:00",3
"2013-09-06 10:15:00",1
"2013-09-06 10:30:00",5
"2013-09-06 10:45:00",4
"2013-09-06 11:00:00",13
