posted_at,followers_count
"2013-09-14 21:58:09",6711
"2013-09-14 22:05:17",6711
"2013-09-14 22:22:07",6717
"2013-09-14 22:32:12",6722
"2013-09-14 22:33:36",6722
"2013-09-14 22:35:15",6722
"2013-09-14 22:38:55",6722
"2013-09-14 22:42:52",6725
"2013-09-15 02:38:58",6768
"2013-09-15 03:18:59",6775
"2013-09-15 04:43:49",6784
"2013-09-15 06:07:19",6794
"2013-09-15 09:30:53",6801
"2013-09-15 16:21:27",6847
"2013-09-15 16:24:41",6848
"2013-09-15 16:33:09",6860
"2013-09-15 17:18:10",6885
"2013-09-15 17:46:04",6911
"2013-09-15 17:48:26",6910
"2013-09-15 17:53:49",6913
"2013-09-15 17:56:06",6916
"2013-09-15 18:49:05",6947
"2013-09-15 18:52:44",6949
"2013-09-15 19:14:52",6967
"2013-09-15 19:20:26",6971
"2013-09-15 19:21:09",6971
"2013-09-15 19:23:02",6972
"2013-09-15 19:35:19",6982
"2013-09-15 19:47:34",6992
"2013-09-15 19:51:27",6994
"2013-09-16 00:14:15",7093
"2013-09-16 02:09:16",7118
"2013-09-16 02:16:05",7119
"2013-09-16 02:40:44",7124
"2013-09-16 03:29:31",7131
"2013-09-16 03:44:58",7139
"2013-09-16 04:07:10",7144
"2013-09-16 04:26:52",7146
"2013-09-16 13:28:12",7166
"2013-09-16 13:43:42",7168
"2013-09-16 14:24:20",7180
"2013-09-16 15:15:48",7193
"2013-09-16 15:34:46",7195
"2013-09-16 19:55:15",7229
"2013-09-16 20:43:08",7234
"2013-09-16 21:11:01",7234
"2013-09-17 00:02:59",7241
"2013-09-17 01:59:30",7248
"2013-09-17 03:42:02",7250
"2013-09-17 14:09:16",7271
"2013-09-17 15:02:18",7272
"2013-09-17 17:49:15",7286
"2013-09-17 19:42:09",7292
"2013-09-17 19:55:18",7294
"2013-09-17 20:11:51",7294
"2013-09-17 21:30:12",7301
"2013-09-17 22:05:38",7299
"2013-09-17 22:17:59",7299
"2013-09-18 00:15:23",7306
"2013-09-18 01:01:09",7305
"2013-09-18 02:19:51",7306
"2013-09-18 03:40:01",7309
"2013-09-18 03:41:11",7309
"2013-09-18 13:47:40",7327
"2013-09-18 13:58:04",7328
"2013-09-18 14:02:32",7328
"2013-09-18 14:12:51",7328
"2013-09-18 14:22:12",7330
"2013-09-18 14:53:49",7330
"2013-09-18 15:19:31",7332
"2013-09-18 16:25:02",7333
"2013-09-18 16:26:50",7333
"2013-09-18 16:36:24",7334
"2013-09-18 16:38:46",7334
"2013-09-18 16:51:11",7334
"2013-09-18 17:42:37",7333
"2013-09-18 20:23:48",7335
"2013-09-18 20:43:37",7333
"2013-09-18 21:07:46",7334
"2013-09-18 21:29:41",7336
"2013-09-18 21:48:48",7337
"2013-09-18 23:40:12",7344
"2013-09-14 23:17:56",6732
"2013-09-14 23:29:09",6733
"2013-09-14 23:37:42",6735
"2013-09-14 23:59:02",6745
"2013-09-15 20:47:49",7032
"2013-09-15 22:02:11",7051
"2013-09-15 22:26:20",7057
"2013-09-19 00:08:54",7345
"2013-09-19 00:28:50",7345
"2013-09-19 00:56:54",7344
"2013-09-19 02:23:07",7347
"2013-09-19 03:00:43",7349
"2013-09-19 14:28:32",7349
"2013-09-19 15:07:26",7349
"2013-09-19 15:41:49",7349
"2013-09-19 16:16:55",7347
"2013-09-19 17:13:01",7346
"2013-09-19 17:17:47",7346
"2013-09-19 17:28:13",7346
"2013-09-19 18:41:04",7348
"2013-09-19 18:45:51",7348
"2013-09-19 18:48:58",7348
"2013-09-19 19:08:08",7351
"2013-09-19 21:10:15",7351
"2013-09-19 21:13:18",7351
"2013-09-19 21:26:41",7349
"2013-09-19 23:12:38",7349
"2013-09-19 23:42:01",7348
"2013-09-20 00:17:53",7348
"2013-09-20 01:09:57",7346
"2013-09-20 02:51:44",7346
"2013-09-20 02:54:27",7345
"2013-09-20 14:38:18",7346
"2013-09-20 15:46:25",7347
"2013-09-20 17:20:07",7347
"2013-09-20 18:00:34",7349
"2013-09-20 21:33:15",7355
"2013-09-20 23:11:39",7355
"2013-09-20 23:44:11",7355
"2013-09-21 00:18:18",7355
"2013-09-21 00:52:23",7354
"2013-09-21 01:54:05",7354
"2013-09-21 14:28:13",7355
"2013-09-21 14:57:49",7356
"2013-09-21 16:17:21",7355
"2013-09-21 17:21:22",7355
"2013-09-21 18:22:18",7357
"2013-09-21 20:20:34",7354
"2013-09-21 20:22:06",7353
"2013-09-21 20:45:38",7353
"2013-09-21 22:01:04",7352
"2013-09-21 23:08:19",7348
"2013-09-21 23:29:29",7348
"2013-09-22 15:30:57",7348
"2013-09-22 16:53:10",7348
"2013-09-22 18:03:15",7347
"2013-09-22 20:30:42",7349
"2013-09-22 20:46:35",7348
"2013-09-22 22:36:29",7349
