"timeslice","mycount"
"2013-09-15 18:00:00",29
"2013-09-15 18:15:00",16
"2013-09-15 18:30:00",19
"2013-09-15 18:45:00",28
"2013-09-15 19:00:00",12
"2013-09-15 19:15:00",28
"2013-09-15 19:30:00",35
"2013-09-15 19:45:00",32
"2013-09-15 20:00:00",27
"2013-09-15 20:15:00",37
"2013-09-15 20:30:00",17
"2013-09-15 20:45:00",41
"2013-09-15 21:00:00",24
"2013-09-15 21:15:00",35
"2013-09-15 21:30:00",20
"2013-09-15 21:45:00",30
"2013-09-15 22:00:00",32
"2013-09-15 22:15:00",35
"2013-09-15 22:30:00",29
"2013-09-15 22:45:00",36
"2013-09-15 23:00:00",41
"2013-09-15 23:15:00",70
"2013-09-15 23:30:00",38
"2013-09-15 23:45:00",45
"2013-09-16 00:00:00",37
"2013-09-16 00:15:00",37
"2013-09-16 00:30:00",47
"2013-09-16 00:45:00",25
"2013-09-16 01:00:00",13
"2013-09-16 01:15:00",23
"2013-09-16 01:30:00",15
"2013-09-16 01:45:00",14
"2013-09-16 02:00:00",14
"2013-09-16 02:15:00",11
"2013-09-16 02:30:00",6
"2013-09-16 02:45:00",23
"2013-09-16 03:00:00",18
"2013-09-16 03:15:00",13
"2013-09-16 03:30:00",9
"2013-09-16 03:45:00",15
"2013-09-16 04:00:00",14
"2013-09-16 04:15:00",13
"2013-09-16 04:30:00",12
"2013-09-16 04:45:00",5
"2013-09-16 05:00:00",18
"2013-09-16 05:15:00",15
"2013-09-16 05:30:00",6
"2013-09-16 05:45:00",9
"2013-09-16 06:00:00",2
"2013-09-16 06:30:00",1
"2013-09-16 07:00:00",1
"2013-09-16 07:15:00",2
"2013-09-16 07:30:00",1
"2013-09-16 08:00:00",1
"2013-09-16 08:15:00",4
"2013-09-16 08:45:00",18
"2013-09-16 09:00:00",2
"2013-09-16 09:30:00",1
"2013-09-16 10:00:00",2
"2013-09-16 10:15:00",1
"2013-09-16 10:30:00",1
"2013-09-16 10:45:00",1
"2013-09-16 11:15:00",2
"2013-09-16 12:00:00",1
"2013-09-16 12:15:00",1
"2013-09-16 12:30:00",3
"2013-09-16 12:45:00",1
"2013-09-16 13:00:00",4
"2013-09-16 13:15:00",10
"2013-09-16 13:30:00",5
"2013-09-16 13:45:00",6
"2013-09-16 14:00:00",9
"2013-09-16 14:15:00",15
"2013-09-16 14:30:00",9
"2013-09-16 14:45:00",2
"2013-09-16 15:00:00",5
"2013-09-16 15:15:00",5
"2013-09-16 15:30:00",13
"2013-09-16 15:45:00",10
"2013-09-16 16:00:00",21
"2013-09-16 16:15:00",14
"2013-09-16 16:30:00",7
"2013-09-16 16:45:00",22
"2013-09-16 17:00:00",8
"2013-09-16 17:15:00",11
"2013-09-16 17:30:00",5
"2013-09-16 17:45:00",1
"2013-09-16 18:00:00",5
"2013-09-16 18:15:00",4
"2013-09-16 18:30:00",7
"2013-09-16 18:45:00",13
"2013-09-16 19:00:00",17
"2013-09-16 19:15:00",11
"2013-09-16 19:30:00",27
"2013-09-16 19:45:00",16
"2013-09-16 20:00:00",3
"2013-09-16 20:15:00",5
"2013-09-16 20:30:00",9
"2013-09-16 20:45:00",13
"2013-09-16 21:00:00",5
"2013-09-16 21:15:00",13
"2013-09-16 21:30:00",7
"2013-09-16 21:45:00",12
"2013-09-16 22:00:00",22
"2013-09-16 22:15:00",5
"2013-09-16 22:30:00",12
"2013-09-16 22:45:00",2
"2013-09-16 23:00:00",5
"2013-09-16 23:15:00",13
"2013-09-16 23:30:00",6
"2013-09-16 23:45:00",2
"2013-09-17 00:00:00",13
"2013-09-17 00:15:00",5
"2013-09-17 00:30:00",9
"2013-09-17 00:45:00",4
"2013-09-17 01:00:00",4
"2013-09-17 01:15:00",18
"2013-09-17 01:30:00",15
"2013-09-17 01:45:00",16
"2013-09-17 02:00:00",8
"2013-09-17 02:15:00",28
"2013-09-17 02:30:00",6
"2013-09-17 02:45:00",2
"2013-09-17 03:00:00",12
"2013-09-17 03:15:00",7
"2013-09-17 03:30:00",8
"2013-09-17 03:45:00",17
"2013-09-17 04:00:00",9
"2013-09-17 04:15:00",6
"2013-09-17 04:30:00",2
"2013-09-17 04:45:00",1
"2013-09-17 05:00:00",9
"2013-09-17 05:15:00",6
"2013-09-17 05:30:00",1
